 LED calibration
Run: 

Gain - PMT gain divided by 10^5
K_adc - conversion factor of MAROC channel (input charge in fC to ADC codes)
1pe, code - single photoelectron amplitude in ADC codes
Rel_sens - relative sensitivity of pixel

Cluster     Channel        Gain       K_adc   1pe, code    Rel_sens
13        18         0         0     30.93      0.99
13        19         0         0       1.5      0.99
13        20         0         0     46.99      0.63
13        21         0         0      1.77      0.63
13        22         0         0     33.69      0.98
13        23         0         0      1.56      0.98
13        24         0         0     33.02      0.93
13        25         0         0      1.57      0.93
13        26         0         0     26.37      1.19
13        27         0         0      1.01      1.19
13        28         0         0     31.12      1.05
13        29         0         0      1.35      1.05
13        30         0         0     36.41      0.91
13        31         0         0      1.76      0.91
13        32         0         0     38.01       0.8
13        33         0         0      1.46       0.8
13        34         0         0     32.96      1.04
13        35         0         0      1.14      1.04
13        36         0         0     35.85      0.88
13        37         0         0      1.45      0.88
13        38         0         0     30.48      1.01
13        39         0         0      1.27      1.01
13        40         0         0     24.96      1.12
13        41         0         0      1.13      1.12
13        42         0         0     33.23      0.96
13        43         0         0      1.51      0.96
13        44         0         0     27.04      1.08
13        45         0         0      1.11      1.08
13        46         0         0     33.66      0.95
13        47         0         0      1.34      0.95
13        48         0         0     31.25      1.01
13        49         0         0       1.6      1.01
13        50         0         0     31.28      0.97
13        51         0         0      1.17      0.97
13        52         0         0     35.48      0.86
13        53         0         0      1.32      0.86
13        54         0         0     33.01      0.89
13        55         0         0      1.35      0.89
13        56         0         0     40.42      0.66
13        57         0         0       2.3      0.66
13        58         0         0     37.73      0.79
13        59         0         0      1.51      0.79
14         4         0         0     34.18      0.87
14         5         0         0      1.95      0.87
14         6         0         0      34.7       0.8
14         7         0         0      1.61       0.8
14         8         0         0     29.99      0.94
14         9         0         0      1.73      0.94
14        10         0         0     30.12      0.95
14        11         0         0      1.29      0.95
14        12         0         0     33.63      0.83
14        13         0         0       1.7      0.83
14        14         0         0     34.17      0.87
14        15         0         0      1.55      0.87
14        16         0         0     29.72      0.95
14        17         0         0      1.39      0.95
14        18         0         0      25.9      1.08
14        19         0         0      1.16      1.08
14        20         0         0      29.1      0.96
14        21         0         0      1.16      0.96
14        22         0         0     32.91      0.91
14        23         0         0      1.92      0.91
14        24         0         0     29.49      1.01
14        25         0         0      1.56      1.01
14        26         0         0     31.81      1.03
14        27         0         0      1.99      1.03
14        28         0         0     28.57       1.0
14        29         0         0      1.53       1.0
14        30         0         0     31.18      0.93
14        31         0         0       1.3      0.93
14        32         0         0      30.8       0.9
14        33         0         0      1.64       0.9
14        34         0         0      36.2      0.88
14        35         0         0      1.59      0.88
14        36         0         0     25.92      1.14
14        37         0         0      1.47      1.14
14        38         0         0     34.36      0.79
14        39         0         0      1.45      0.79
14        40         0         0     24.78      1.14
14        41         0         0      1.22      1.14
14        42         0         0     41.43      0.65
