cl	ch	pe	sens
14	10	28.70	0.73
14	11	2.23	0.73
14	12	23.79	1.06
14	13	2.25	1.06
14	14	22.26	1.08
14	15	2.23	1.08
14	16	23.27	0.81
14	17	2.03	0.81
14	18	22.03	0.87
14	19	1.97	0.87
14	20	18.41	0.97
14	21	1.43	0.97
14	24	30.92	1.01
14	25	2.61	1.01
14	26	19.06	1.09
14	27	1.86	1.09
14	28	36.01	0.79
14	29	2.78	0.79
14	30	22.34	0.84
14	31	1.91	0.84
14	32	20.41	0.89
14	33	0.96	0.89
14	34	24.09	0.87
14	35	1.75	0.87
14	36	26.50	0.97
14	37	2.11	0.97
14	38	23.20	1.24
14	39	1.62	1.24
14	40	26.14	1.34
14	41	2.67	1.34
14	42	24.66	0.96
14	43	1.86	0.96
14	44	21.68	1.06
14	45	1.52	1.06
14	46	23.40	1.06
14	47	1.84	1.06
14	48	28.78	0.81
14	49	1.90	0.81
14	50	20.86	1.07
14	51	1.86	1.07
14	52	20.81	1.03
14	53	1.77	1.03
14	54	18.35	1.09
14	55	1.72	1.09
14	56	22.81	0.79
14	57	2.14	0.79
14	58	26.70	0.92
14	59	2.01	0.92
15	4	23.41	0.89
15	5	2.32	0.89
15	6	20.79	0.86
15	7	1.46	0.86
15	8	22.30	0.95
15	9	1.57	0.95
15	10	23.79	1.11
15	11	1.73	1.11
15	12	28.04	1.06
15	13	2.93	1.06
15	14	22.16	0.83
15	15	1.58	0.83
15	16	28.69	1.16
15	17	2.26	1.16
15	18	27.49	0.87
15	19	2.27	0.87
15	20	24.07	1.11
15	21	1.90	1.11
15	22	22.54	0.91
15	23	2.43	0.91
15	24	18.52	0.56
15	25	0.44	0.56
15	26	30.69	0.96
15	27	2.28	0.96
15	28	25.03	0.92
15	29	1.61	0.92
15	30	24.39	1.19
15	31	2.78	1.19
15	32	21.62	1.05
15	33	1.59	1.05
15	34	32.93	0.66
15	35	2.94	0.66
15	36	25.67	0.86
15	37	2.46	0.86
15	38	21.04	1.34
15	39	1.96	1.34
15	40	26.60	1.05
15	41	1.94	1.05
15	42	28.62	0.93
15	43	2.29	0.93
15	44	23.37	0.98
15	45	1.66	0.98
15	46	31.18	1.01
15	47	2.96	1.01
15	48	34.87	0.97
15	49	2.35	0.97
15	50	38.21	0.69
15	51	3.39	0.69
15	52	24.51	1.11
15	53	1.73	1.11
15	54	27.21	0.61
15	55	0.88	0.61
15	56	34.28	0.98
15	57	2.63	0.98
15	58	35.20	0.79
15	59	2.66	0.79
16	4	25.74	0.85
16	5	2.21	0.85
16	6	28.37	1.00
16	7	2.69	1.00
16	8	24.01	0.94
16	9	1.93	0.94
16	10	-0.51	-1.00
16	11	-1.00	-1.00
16	12	19.61	1.12
16	13	1.92	1.12
16	14	26.72	1.29
16	15	2.40	1.29
16	16	35.54	1.13
16	17	3.12	1.13
16	18	21.58	1.45
16	19	1.86	1.45
16	20	25.24	1.02
16	21	2.52	1.02
16	22	35.42	0.93
16	23	4.25	0.93
16	24	21.29	0.84
16	25	1.79	0.84
16	26	29.97	1.13
16	27	2.84	1.13
16	28	21.61	1.16
16	29	1.66	1.16
16	30	28.57	1.13
16	31	2.02	1.13
16	32	30.79	0.90
16	33	2.41	0.90
16	34	45.76	1.11
16	35	3.33	1.11
16	36	29.13	0.96
16	37	2.68	0.96
16	38	30.44	0.97
16	39	2.74	0.97
16	40	25.15	1.17
16	41	1.94	1.17
16	42	35.41	1.16
16	43	3.64	1.16
16	44	29.42	0.72
16	45	2.21	0.72
16	46	24.39	0.83
16	47	1.90	0.83
16	48	27.14	0.61
16	49	1.78	0.61
16	50	17.33	1.09
16	51	1.19	1.09
16	52	26.67	0.96
16	53	2.05	0.96
16	54	24.37	0.57
16	55	1.23	0.57
16	56	32.03	0.94
16	57	3.17	0.94
16	58	27.91	0.97
16	59	2.93	0.97
17	2	28.64	0.90
17	3	2.25	0.90
17	4	27.10	0.81
17	5	2.46	0.81
17	6	36.17	1.05
17	7	3.37	1.05
17	8	24.81	1.19
17	9	1.79	1.19
17	10	25.02	0.83
17	11	2.12	0.83
17	12	31.29	0.67
17	13	3.26	0.67
17	14	25.03	1.17
17	15	2.21	1.17
17	16	22.74	0.93
17	17	1.79	0.93
17	18	29.01	1.01
